date,value
2016-05-31 05:05:00,1743.68
2016-05-31 05:10:00,1339.84
2016-05-31 05:15:00,1292.56
2016-05-31 05:20:00,1284.49
2016-05-31 05:25:00,1279
2016-05-31 05:30:00,1275.13
2016-05-31 05:35:00,1272.24
2016-05-31 05:40:00,1270.01
2016-05-31 05:45:00,1268.24
2016-05-31 05:50:00,1266.81
2016-05-31 05:55:00,1442.58
2016-05-31 06:00:00,1497.64
2016-05-31 06:05:00,2303.05
2016-05-31 06:10:00,1903.6
2016-05-31 06:15:00,1879.84
2016-05-31 06:20:00,1881.53
2016-05-31 06:25:00,1930.9
2016-05-31 06:30:00,1935.3
2016-05-31 06:35:00,1937.4
2016-05-31 06:40:00,1936.73
2016-05-31 06:45:00,1935.15
2016-05-31 06:50:00,1934.95
2016-05-31 06:55:00,1924.91
2016-05-31 07:00:00,1928.44
2016-05-31 07:05:00,3812.55
2016-05-31 07:10:00,3732.41
2016-05-31 07:15:00,3413.15
2016-05-31 07:20:00,3357.74
2016-05-31 07:25:00,3313.54
2016-05-31 07:30:00,3394.9
2016-05-31 07:35:00,3383.11
2016-05-31 07:40:00,4234.89
2016-05-31 07:45:00,4362.27
2016-05-31 07:50:00,4523.82
2016-05-31 07:55:00,4536.17
2016-05-31 08:00:00,4713.16
2016-05-31 08:05:00,4145.41
2016-05-31 08:10:00,4594.06
2016-05-31 08:15:00,4659.55
2016-05-31 08:20:00,4777.55
2016-05-31 08:25:00,4856.68
2016-05-31 08:30:00,4926.39
2016-05-31 08:35:00,4993.75
2016-05-31 08:40:00,5018.91
2016-05-31 08:45:00,5105.16
2016-05-31 08:50:00,5172.49
2016-05-31 08:55:00,6260.01
2016-05-31 09:00:00,5299.85
2016-05-31 09:05:00,6337.92
2016-05-31 09:10:00,5972.08
2016-05-31 09:15:00,5963.25
2016-05-31 09:20:00,5020.09
2016-05-31 09:25:00,5028.18
2016-05-31 09:30:00,4841.2
2016-05-31 09:35:00,4916.42
2016-05-31 09:40:00,4987.22
2016-05-31 09:45:00,5511.27
2016-05-31 09:50:00,5688.18
2016-05-31 09:55:00,5816.4
2016-05-31 10:00:00,5911.92
2016-05-31 10:05:00,5951.1
2016-05-31 10:10:00,5326.18
2016-05-31 10:15:00,6437.18
2016-05-31 10:20:00,6500.35
2016-05-31 10:25:00,6518.07
2016-05-31 10:30:00,6520.96
2016-05-31 10:35:00,6488.12
2016-05-31 10:40:00,6460.02
2016-05-31 10:45:00,6445.23
2016-05-31 10:50:00,6366.85
2016-05-31 10:55:00,6343.02
2016-05-31 11:00:00,6308.8
2016-05-31 11:05:00,6300.58
2016-05-31 11:10:00,6436.56
2016-05-31 11:15:00,6397.16
2016-05-31 11:20:00,6365.79
2016-05-31 11:25:00,6362.61
2016-05-31 11:30:00,6659.89
2016-05-31 11:35:00,7935.5
2016-05-31 11:40:00,7997.62
2016-05-31 11:45:00,8013.54
2016-05-31 11:50:00,8008.58
2016-05-31 11:55:00,8030.95
2016-05-31 12:00:00,8210.29
2016-05-31 12:05:00,8151.82
2016-05-31 12:10:00,8116.76
2016-05-31 12:15:00,8063.76
2016-05-31 12:20:00,8043.56
2016-05-31 12:25:00,8032.46
2016-05-31 12:30:00,8026
2016-05-31 12:35:00,7027.02
2016-05-31 12:40:00,6749.62
2016-05-31 12:45:00,6749.92
2016-05-31 12:50:00,6758.65
2016-05-31 12:55:00,6791.34
2016-05-31 13:00:00,6969.46
2016-05-31 13:05:00,6851.68
2016-05-31 13:10:00,6849.08
2016-05-31 13:15:00,6796.17
2016-05-31 13:20:00,6824.74
2016-05-31 13:25:00,6803.93
2016-05-31 13:30:00,6810.02
2016-05-31 13:35:00,6814.27
2016-05-31 13:40:00,6837.35
2016-05-31 13:45:00,6797.48
2016-05-31 13:50:00,6788.06
2016-05-31 13:55:00,5829.88
2016-05-31 14:00:00,5860.37
2016-05-31 14:05:00,5837.28
2016-05-31 14:10:00,5503.02
2016-05-31 14:15:00,5511.15
2016-05-31 14:20:00,5513.22
2016-05-31 14:25:00,5498.49
2016-05-31 14:30:00,5476.72
2016-05-31 14:35:00,5457.15
2016-05-31 14:40:00,5458.31
2016-05-31 14:45:00,6247.63
2016-05-31 14:50:00,6313.6
2016-05-31 14:55:00,6302.56
2016-05-31 15:00:00,6282.9
2016-05-31 15:05:00,6260.75
2016-05-31 15:10:00,6203.09
2016-05-31 15:15:00,6174.21
2016-05-31 15:20:00,6162.76
2016-05-31 15:25:00,7200.84
2016-05-31 15:30:00,6075.58
2016-05-31 15:35:00,6099.79
2016-05-31 15:40:00,6111.42
2016-05-31 15:45:00,6083.73
2016-05-31 15:50:00,5988.29
2016-05-31 15:55:00,5954.95
2016-05-31 16:00:00,5956.93
2016-05-31 16:05:00,5931.8
2016-05-31 16:10:00,6058.71
2016-05-31 16:15:00,5967.8
2016-05-31 16:20:00,5884.6
2016-05-31 16:25:00,5862.4
2016-05-31 16:30:00,5752.69
2016-05-31 16:35:00,5705.61
2016-05-31 16:40:00,5536.37
2016-05-31 16:45:00,5456.32
2016-05-31 16:50:00,5350.69
