date,value
2016-05-31 05:05:00,337.06
2016-05-31 05:10:00,225.15
2016-05-31 05:15:00,225.15
2016-05-31 05:20:00,225.15
2016-05-31 05:25:00,225.15
2016-05-31 05:30:00,225.15
2016-05-31 05:35:00,225.15
2016-05-31 05:40:00,225.15
2016-05-31 05:45:00,225.15
2016-05-31 05:50:00,225.15
2016-05-31 05:55:00,225.15
2016-05-31 06:00:00,225.15
2016-05-31 06:05:00,397.7
2016-05-31 06:10:00,284.65
2016-05-31 06:15:00,285.42
2016-05-31 06:20:00,290.27
2016-05-31 06:25:00,309.32
2016-05-31 06:30:00,314.69
2016-05-31 06:35:00,319.69
2016-05-31 06:40:00,323.67
2016-05-31 06:45:00,327.26
2016-05-31 06:50:00,331.25
2016-05-31 06:55:00,331.67
2016-05-31 07:00:00,334.99
2016-05-31 07:05:00,906.55
2016-05-31 07:10:00,858.74
2016-05-31 07:15:00,780.15
2016-05-31 07:20:00,768.58
2016-05-31 07:25:00,749.25
2016-05-31 07:30:00,762.86
2016-05-31 07:35:00,749.71
2016-05-31 07:40:00,972.39
2016-05-31 07:45:00,977.29
2016-05-31 07:50:00,1004.59
2016-05-31 07:55:00,991.65
2016-05-31 08:00:00,1024.3
2016-05-31 08:05:00,870.39
2016-05-31 08:10:00,972.66
2016-05-31 08:15:00,968.01
2016-05-31 08:20:00,983.32
2016-05-31 08:25:00,988.2
2016-05-31 08:30:00,991.69
2016-05-31 08:35:00,994.95
2016-05-31 08:40:00,989.01
2016-05-31 08:45:00,998.08
2016-05-31 08:50:00,1002.85
2016-05-31 08:55:00,1231.74
2016-05-31 09:00:00,1009.74
2016-05-31 09:05:00,1235.76
2016-05-31 09:10:00,1143.69
2016-05-31 09:15:00,1145.3
2016-05-31 09:20:00,934.26
2016-05-31 09:25:00,933.93
2016-05-31 09:30:00,877.95
2016-05-31 09:35:00,883.41
2016-05-31 09:40:00,884.85
2016-05-31 09:45:00,977.06
2016-05-31 09:50:00,994.99
2016-05-31 09:55:00,1008.05
2016-05-31 10:00:00,1015.32
2016-05-31 10:05:00,1018.47
2016-05-31 10:10:00,894.02
2016-05-31 10:15:00,1112.07
2016-05-31 10:20:00,1119.55
2016-05-31 10:25:00,1131.14
2016-05-31 10:30:00,1139.9
2016-05-31 10:35:00,1140.99
2016-05-31 10:40:00,1142.75
2016-05-31 10:45:00,1146.61
2016-05-31 10:50:00,1136.44
2016-05-31 10:55:00,1137.39
2016-05-31 11:00:00,1135.06
2016-05-31 11:05:00,1135.94
2016-05-31 11:10:00,1169.85
2016-05-31 11:15:00,1161.52
2016-05-31 11:20:00,1157.22
2016-05-31 11:25:00,1158.68
2016-05-31 11:30:00,1225.14
2016-05-31 11:35:00,1508.09
2016-05-31 11:40:00,1506.38
2016-05-31 11:45:00,1517.16
2016-05-31 11:50:00,1521.1
2016-05-31 11:55:00,1531.15
2016-05-31 12:00:00,1577.58
2016-05-31 12:05:00,1565.06
2016-05-31 12:10:00,1561.72
2016-05-31 12:15:00,1550.72
2016-05-31 12:20:00,1547.98
2016-05-31 12:25:00,1545.67
2016-05-31 12:30:00,1544.35
2016-05-31 12:35:00,1305.45
2016-05-31 12:40:00,1252.83
2016-05-31 12:45:00,1254.37
2016-05-31 12:50:00,1254.64
2016-05-31 12:55:00,1262.13
2016-05-31 13:00:00,1305.43
2016-05-31 13:05:00,1270.01
2016-05-31 13:10:00,1271.43
2016-05-31 13:15:00,1258.48
2016-05-31 13:20:00,1266.86
2016-05-31 13:25:00,1260.66
2016-05-31 13:30:00,1261.81
2016-05-31 13:35:00,1261.72
2016-05-31 13:40:00,1266
2016-05-31 13:45:00,1253.54
2016-05-31 13:50:00,1249.48
2016-05-31 13:55:00,1017.07
2016-05-31 14:00:00,1028.55
2016-05-31 14:05:00,1019.66
