date,value
2016-05-31 00:00:00,828.99
2016-05-31 00:05:00,826.42
2016-05-31 00:10:00,823.86
2016-05-31 00:15:00,821.32
2016-05-31 00:20:00,818.79
2016-05-31 00:25:00,816.28
2016-05-31 00:30:00,813.78
2016-05-31 00:35:00,811.3
2016-05-31 00:40:00,808.83
2016-05-31 00:45:00,806.38
2016-05-31 00:50:00,803.94
2016-05-31 00:55:00,801.51
2016-05-31 01:00:00,799.1
2016-05-31 01:05:00,796.7
2016-05-31 01:10:00,794.32
2016-05-31 01:15:00,791.95
2016-05-31 01:20:00,789.59
2016-05-31 01:25:00,787.25
2016-05-31 01:30:00,784.92
2016-05-31 01:35:00,782.61
2016-05-31 01:40:00,780.31
2016-05-31 01:45:00,778.03
2016-05-31 01:50:00,775.75
2016-05-31 01:55:00,773.5
2016-05-31 02:00:00,771.25
2016-05-31 02:05:00,769.02
2016-05-31 02:10:00,766.8
2016-05-31 02:15:00,764.6
2016-05-31 02:20:00,762.41
2016-05-31 02:25:00,760.23
2016-05-31 02:30:00,758.07
2016-05-31 02:35:00,755.92
2016-05-31 02:40:00,753.78
2016-05-31 02:45:00,751.65
2016-05-31 02:50:00,749.54
2016-05-31 02:55:00,747.44
2016-05-31 03:00:00,745.35
2016-05-31 03:05:00,743.28
2016-05-31 03:10:00,741.21
2016-05-31 03:15:00,739.16
2016-05-31 03:20:00,737.12
2016-05-31 03:25:00,735.1
2016-05-31 03:30:00,733.09
2016-05-31 03:35:00,731.08
2016-05-31 03:40:00,729.1
2016-05-31 03:45:00,727.12
2016-05-31 03:50:00,725.15
2016-05-31 03:55:00,723.2
2016-05-31 04:00:00,721.26
2016-05-31 04:05:00,719.33
2016-05-31 04:10:00,717.41
2016-05-31 04:15:00,715.5
2016-05-31 04:20:00,713.61
2016-05-31 04:25:00,711.72
2016-05-31 04:30:00,709.85
2016-05-31 04:35:00,707.99
2016-05-31 04:40:00,706.14
2016-05-31 04:45:00,704.3
2016-05-31 04:50:00,702.47
2016-05-31 04:55:00,700.65
2016-05-31 05:00:00,698.85
2016-05-31 05:05:00,697.05
2016-05-31 05:10:00,699.15
2016-05-31 05:15:00,701.24
2016-05-31 05:20:00,703.32
2016-05-31 05:25:00,705.38
2016-05-31 05:30:00,707.43
2016-05-31 05:35:00,709.47
2016-05-31 05:40:00,711.5
2016-05-31 05:45:00,713.51
2016-05-31 05:50:00,715.52
2016-05-31 05:55:00,717.51
2016-05-31 06:00:00,719.49
2016-05-31 06:05:00,721.46
2016-05-31 06:10:00,720.37
2016-05-31 06:15:00,719.07
2016-05-31 06:20:00,717.77
2016-05-31 06:25:00,716.48
2016-05-31 06:30:00,715.39
2016-05-31 06:35:00,714.32
2016-05-31 06:40:00,713.28
2016-05-31 06:45:00,712.25
2016-05-31 06:50:00,711.22
2016-05-31 06:55:00,710.21
2016-05-31 07:00:00,709.18
2016-05-31 07:05:00,708.15
2016-05-31 07:10:00,708.3
2016-05-31 07:15:00,707.83
2016-05-31 07:20:00,707.5
2016-05-31 07:25:00,707.24
2016-05-31 07:30:00,707.44
2016-05-31 07:35:00,708.71
2016-05-31 07:40:00,709.23
2016-05-31 07:45:00,708.7
2016-05-31 07:50:00,708.43
