date,value
2016-06-07 07:05:00,4515.16
2016-06-07 07:10:00,4515.16
2016-06-07 07:15:00,4515.16
2016-06-07 07:20:00,4515.16
2016-06-07 07:25:00,3990.8
2016-06-07 07:30:00,3511.46
2016-06-07 07:35:00,3204.4
2016-06-07 07:40:00,2934.9
2016-06-07 07:45:00,2686.8
2016-06-07 07:50:00,2368.28
2016-06-07 07:55:00,2227.1
2016-06-07 08:00:00,2015.19
2016-06-07 08:05:00,1812.82
2016-06-07 08:10:00,1620.06
2016-06-07 08:15:00,1436.42
2016-06-07 08:20:00,1261.56
2016-06-07 08:25:00,1094.95
2016-06-07 08:30:00,981.43
2016-06-07 08:35:00,907.16
2016-06-07 08:40:00,836.36
2016-06-07 08:45:00,768.97
2016-06-07 08:50:00,664.19
2016-06-07 08:55:00,602.35
2016-06-07 09:00:00,544.17
2016-06-07 09:05:00,407.79
2016-06-07 09:10:00,394.92
2016-06-07 09:15:00,427.03
2016-06-07 09:20:00,382.59
2016-06-07 09:25:00,339.27
2016-06-07 09:30:00,298.13
2016-06-07 09:35:00,218.52
2016-06-07 09:40:00,221.19
2016-06-07 09:45:00,186.32
2016-06-07 09:50:00,153.22
2016-06-07 09:55:00,81.58
2016-06-07 10:00:00,91.93
2016-06-07 10:05:00,24.22
2016-06-07 10:10:00,38.43
2016-06-08 07:05:00,4515.16
2016-06-08 07:10:00,4515.16
2016-06-08 07:15:00,3108.57
2016-06-08 07:20:00,2455.35
2016-06-08 07:25:00,2169.88
2016-06-08 07:30:00,1952.87
2016-06-08 07:35:00,1752.84
2016-06-08 07:40:00,1561.28
2016-06-08 07:45:00,1293.49
2016-06-08 07:50:00,1196.46
2016-06-08 07:55:00,1024.68
2016-06-08 08:00:00,942.71
2016-06-08 08:05:00,864.37
2016-06-08 08:10:00,789.05
2016-06-08 08:15:00,716.58
2016-06-08 08:20:00,647.02
2016-06-08 08:25:00,580.39
2016-06-08 08:30:00,516.74
2016-06-08 08:35:00,456.1
2016-06-08 08:40:00,398.47
2016-06-08 08:45:00,343.84
2016-06-08 08:50:00,251.68
2016-06-08 08:55:00,161.81
2016-06-08 09:00:00,74.7
2016-06-08 09:05:00,111.75
2016-06-08 09:10:00,31.62
2016-06-08 09:15:00,73.46
2016-06-08 09:20:00,38.47
2016-06-08 09:25:00,5.47
2016-06-10 21:15:00,3.62
2016-06-10 21:20:00,12.75
2016-06-10 21:25:00,18.93
2016-06-10 21:30:00,24.44
2016-06-10 21:35:00,29.74
2016-06-10 21:40:00,34.9
2016-06-10 21:45:00,39.97
2016-06-10 21:50:00,44.95
2016-06-10 21:55:00,49.86
2016-06-10 22:00:00,4.23
2016-06-10 22:05:00,58.34
2016-06-10 22:10:00,13.26
2016-06-10 22:15:00,67.91
2016-06-10 22:20:00,74.61
2016-06-10 22:25:00,82.04
2016-06-10 22:30:00,90.15
2016-06-10 22:35:00,98.93
2016-06-10 22:40:00,108.19
2016-06-10 22:45:00,117.81
2016-06-10 22:50:00,127.49
2016-06-10 22:55:00,137
2016-06-10 23:00:00,146.15
2016-06-10 23:20:00,46.02
2016-06-10 23:25:00,123.58
2016-06-10 23:30:00,140.29
2016-06-10 23:35:00,149.1
2016-06-10 23:40:00,155.92
2016-06-10 23:45:00,161.69
2016-06-10 23:50:00,166.78
2016-06-10 23:55:00,171.34
2016-06-11 00:00:00,175.64
2016-06-11 00:05:00,179.93
2016-06-11 00:25:00,89.58
2016-06-11 00:30:00,158.97
2016-06-11 00:35:00,178.9
2016-06-11 00:40:00,192.84
2016-06-11 00:45:00,205.36
2016-06-11 00:50:00,217.11
2016-06-11 00:55:00,228.36
2016-06-11 01:00:00,239.14
2016-06-11 01:05:00,249.55
2016-06-11 01:10:00,259.65
2016-06-11 01:25:00,11.96
2016-06-11 01:30:00,229.92
2016-06-11 01:35:00,264.93
2016-06-11 01:40:00,280.53
2016-06-11 01:45:00,292.86
2016-06-11 01:50:00,303.8
2016-06-11 01:55:00,313.92
2016-06-11 02:00:00,323.21
2016-06-11 02:05:00,332.17
2016-06-11 02:10:00,340.73
2016-06-11 02:15:00,348.95
2016-06-11 02:30:00,133.93
2016-06-11 02:35:00,320.74
2016-06-11 02:40:00,350.12
2016-06-11 02:45:00,363.04
2016-06-11 02:50:00,373.14
2016-06-11 02:55:00,382.13
2016-06-11 03:00:00,390.38
2016-06-11 03:05:00,397.98
2016-06-11 03:10:00,405.34
2016-06-11 03:15:00,412.26
2016-06-11 03:20:00,418.92
2016-06-11 03:35:00,231.24
2016-06-11 03:40:00,392.34
2016-06-11 03:45:00,417.49
2016-06-11 03:50:00,428.58
2016-06-11 03:55:00,437.23
2016-06-11 04:00:00,444.86
2016-06-11 04:05:00,451.92
2016-06-11 04:10:00,458.58
2016-06-11 04:15:00,464.8
2016-06-11 04:20:00,470.77
2016-06-11 04:25:00,476.53
2016-06-11 04:40:00,312.86
2016-06-11 04:45:00,452.14
2016-06-11 04:50:00,474
2016-06-11 04:55:00,483.75
2016-06-11 05:00:00,491.43
2016-06-11 05:05:00,498.22
2016-06-11 05:10:00,504.61
2016-06-11 05:15:00,510.6
2016-06-11 05:20:00,516.26
2016-06-11 05:25:00,521.66
2016-06-11 05:30:00,526.83
2016-06-11 05:45:00,384.58
2016-06-11 05:50:00,504.27
2016-06-11 05:55:00,523.03
2016-06-11 06:00:00,531.25
2016-06-11 06:05:00,536.72
2016-06-11 06:10:00,540.37
2016-06-11 06:15:00,542.33
2016-06-11 06:20:00,543.13
2016-06-11 06:25:00,542.96
2016-06-11 06:30:00,542.05
2016-06-11 06:35:00,540.61
2016-06-11 06:40:00,538.82
2016-06-11 06:45:00,536.8
2016-06-11 06:50:00,534.63
2016-06-11 06:55:00,532.39
2016-06-11 07:00:00,530.08
2016-06-11 07:05:00,527.85
2016-06-11 07:10:00,525.54
2016-06-11 07:15:00,523.19
2016-06-11 07:20:00,520.79
2016-06-11 07:25:00,518.32
2016-06-11 07:30:00,515.81
2016-06-11 07:35:00,513.25
2016-06-11 07:40:00,510.63
2016-06-11 07:45:00,507.96
2016-06-11 07:50:00,505.22
2016-06-11 07:55:00,502.43
2016-06-11 08:00:00,499.59
2016-06-11 08:05:00,496.71
2016-06-11 08:10:00,493.81
2016-06-11 08:15:00,490.88
2016-06-11 08:20:00,487.94
2016-06-11 08:25:00,484.99
2016-06-11 08:30:00,482.04
2016-06-11 08:35:00,479.1
2016-06-11 08:40:00,476.16
2016-06-11 08:45:00,473.22
2016-06-11 08:50:00,470.3
2016-06-11 08:55:00,467.4
2016-06-11 09:00:00,464.53
2016-06-11 09:05:00,461.69
2016-06-11 09:10:00,458.84
2016-06-11 09:15:00,456.02
2016-06-11 09:20:00,453.22
2016-06-11 09:25:00,450.43
2016-06-11 09:30:00,447.66
2016-06-11 09:35:00,444.9
2016-06-11 09:40:00,442.16
2016-06-11 09:45:00,439.43
2016-06-11 09:50:00,436.72
2016-06-11 09:55:00,434.03
2016-06-11 10:00:00,431.37
2016-06-11 10:05:00,428.72
2016-06-11 10:10:00,426.11
2016-06-11 10:15:00,423.51
2016-06-11 10:20:00,420.95
2016-06-11 10:25:00,418.46
2016-06-11 10:30:00,415.99
2016-06-11 10:35:00,413.55
2016-06-11 10:40:00,411.12
2016-06-11 10:45:00,408.74
2016-06-11 10:50:00,406.36
2016-06-11 10:55:00,404.05
2016-06-11 11:00:00,401.81
2016-06-11 11:05:00,399.64
2016-06-11 11:10:00,397.56
2016-06-11 11:15:00,395.56
2016-06-11 11:20:00,393.63
2016-06-11 11:25:00,391.8
2016-06-11 11:30:00,390.09
2016-06-11 11:35:00,388.51
2016-06-11 11:40:00,387.06
2016-06-11 11:45:00,385.75
2016-06-11 11:50:00,384.55
2016-06-11 11:55:00,383.43
2016-06-11 12:00:00,382.37
2016-06-11 12:05:00,381.35
2016-06-11 12:10:00,380.39
2016-06-11 12:15:00,379.48
2016-06-11 12:20:00,378.64
2016-06-11 12:25:00,377.87
2016-06-11 12:30:00,377.16
2016-06-11 12:35:00,376.49
2016-06-11 12:40:00,375.87
2016-06-11 12:45:00,375.24
2016-06-11 12:50:00,374.59
2016-06-11 12:55:00,373.87
2016-06-11 13:00:00,373.05
2016-06-11 13:05:00,372.12
2016-06-11 13:10:00,371.08
2016-06-11 13:15:00,369.93
2016-06-11 13:20:00,368.68
2016-06-11 13:25:00,367.29
2016-06-11 13:30:00,365.74
2016-06-11 13:35:00,364.01
2016-06-11 13:40:00,362.08
2016-06-11 13:45:00,359.96
2016-06-11 13:50:00,357.64
2016-06-11 13:55:00,355.14
2016-06-11 14:00:00,352.46
2016-06-11 14:05:00,349.59
2016-06-11 14:10:00,346.56
2016-06-11 14:15:00,343.37
2016-06-11 14:20:00,340.07
2016-06-11 14:25:00,336.66
2016-06-11 14:30:00,333.15
2016-06-11 14:35:00,329.55
2016-06-11 14:40:00,325.89
2016-06-11 14:45:00,322.23
2016-06-11 14:50:00,318.62
2016-06-11 14:55:00,315.14
2016-06-11 15:00:00,311.85
2016-06-11 15:05:00,308.79
2016-06-11 15:10:00,306.01
2016-06-11 15:15:00,303.53
2016-06-11 15:20:00,301.39
2016-06-11 15:25:00,299.62
2016-06-11 15:30:00,298.23
2016-06-11 15:35:00,297.29
2016-06-11 15:40:00,296.77
2016-06-11 15:45:00,296.64
2016-06-11 15:50:00,296.85
2016-06-11 15:55:00,297.32
2016-06-11 16:00:00,298.01
2016-06-11 16:05:00,298.89
2016-06-11 16:10:00,299.93
2016-06-11 16:15:00,301.09
2016-06-11 16:20:00,302.34
2016-06-11 16:25:00,303.66
2016-06-11 16:30:00,305.03
2016-06-11 16:35:00,306.46
2016-06-11 16:40:00,307.92
2016-06-11 16:45:00,309.42
2016-06-11 16:50:00,310.98
2016-06-11 16:55:00,312.62
2016-06-11 17:00:00,314.37
2016-06-11 17:05:00,316.13
2016-06-11 17:10:00,318.04
2016-06-11 17:15:00,320.06
2016-06-11 17:20:00,322.22
2016-06-11 17:25:00,324.54
