date,value
2016-06-07 07:05:00,6830.9
2016-06-07 07:10:00,6830.9
2016-06-07 07:15:00,6242.48
2016-06-07 07:20:00,3727.08
2016-06-07 07:25:00,3151.58
2016-06-07 07:30:00,2781.36
2016-06-07 07:35:00,2472.53
2016-06-07 07:40:00,2191.88
2016-06-07 07:45:00,1933.02
2016-06-07 07:50:00,1605.53
2016-06-07 07:55:00,1502.83
2016-06-07 08:00:00,1396.17
2016-06-07 08:05:00,1294.68
2016-06-07 08:10:00,1198.38
2016-06-07 08:15:00,1106.92
2016-06-07 08:20:00,1020.11
2016-06-07 08:25:00,937.66
2016-06-07 08:30:00,859.74
2016-06-07 08:35:00,785.13
2016-06-07 08:40:00,714.24
2016-06-07 08:45:00,646.95
2016-06-07 08:50:00,501.52
2016-06-07 08:55:00,520.52
2016-06-07 09:00:00,178.91
2016-06-07 09:05:00,281.75
2016-06-07 09:10:00,190.44
2016-06-07 09:15:00,181.53
2016-06-07 09:20:00,175.32
2016-06-07 09:25:00,212.41
2016-06-07 09:30:00,171.49
2016-06-07 09:35:00,131.82
2016-06-07 09:40:00,93.59
2016-06-07 09:45:00,57.06
2016-06-07 09:50:00,22.23
2016-06-08 07:05:00,6830.9
2016-06-08 07:10:00,6300.78
2016-06-08 07:15:00,1990.75
2016-06-08 07:20:00,1465.07
2016-06-08 07:25:00,1320.62
2016-06-08 07:30:00,1209
2016-06-08 07:35:00,1106.66
2016-06-08 07:40:00,968.51
2016-06-08 07:45:00,915.74
2016-06-08 07:50:00,827.66
2016-06-08 07:55:00,742.58
2016-06-08 08:00:00,661.48
2016-06-08 08:05:00,583.77
2016-06-08 08:10:00,509.63
2016-06-08 08:15:00,438.73
2016-06-08 08:20:00,371.12
2016-06-08 08:25:00,306.79
2016-06-08 08:30:00,245.73
2016-06-08 08:35:00,187.95
2016-06-08 08:40:00,133.4
2016-06-08 08:45:00,82.05
2016-06-08 08:50:00,33.93
2016-06-11 00:05:00,7.28
2016-06-11 00:45:00,56.81
2016-06-11 00:50:00,84.04
2016-06-11 00:55:00,103.33
2016-06-11 01:00:00,120.49
2016-06-11 01:05:00,136.45
2016-06-11 01:10:00,151.49
2016-06-11 01:35:00,22.16
2016-06-11 01:40:00,154.46
2016-06-11 01:45:00,183.83
2016-06-11 01:50:00,202.62
2016-06-11 01:55:00,218.8
2016-06-11 02:00:00,233.12
2016-06-11 02:05:00,246.58
2016-06-11 02:10:00,259.23
2016-06-11 02:15:00,271.21
2016-06-11 02:40:00,232.84
