date,value
2016-05-31 00:00:00,976.19
2016-05-31 00:05:00,978.6
2016-05-31 00:10:00,981.01
2016-05-31 00:15:00,983.53
2016-05-31 00:20:00,985.99
2016-05-31 00:25:00,988.4
2016-05-31 00:30:00,988.4
2016-05-31 00:35:00,989.83
2016-05-31 00:40:00,991.99
2016-05-31 00:45:00,994.15
2016-05-31 00:50:00,996.27
2016-05-31 00:55:00,998.36
2016-05-31 01:00:00,1000.42
2016-05-31 01:05:00,1002.44
2016-05-31 01:10:00,1004.43
2016-05-31 01:15:00,1006.38
2016-05-31 01:20:00,1008.31
2016-05-31 01:25:00,1010.21
2016-05-31 01:30:00,1012.08
2016-05-31 01:35:00,1012.08
2016-05-31 01:40:00,1012.83
2016-05-31 01:45:00,1014.5
2016-05-31 01:50:00,1016.19
2016-05-31 01:55:00,1017.86
2016-05-31 02:00:00,1019.51
2016-05-31 02:05:00,1021.14
2016-05-31 02:10:00,1022.75
2016-05-31 02:15:00,1024.34
2016-05-31 02:20:00,1025.91
2016-05-31 02:25:00,1027.47
2016-05-31 02:30:00,1029
2016-05-31 02:35:00,1030.52
2016-05-31 02:40:00,1030.52
2016-05-31 02:45:00,1030.84
2016-05-31 02:50:00,1032.19
2016-05-31 02:55:00,1033.57
2016-05-31 03:00:00,1034.93
2016-05-31 03:05:00,1036.29
2016-05-31 03:10:00,1037.63
2016-05-31 03:15:00,1038.96
2016-05-31 03:20:00,1040.29
2016-05-31 03:25:00,1041.6
2016-05-31 03:30:00,1042.9
2016-05-31 03:35:00,1044.19
2016-05-31 03:40:00,1045.48
2016-05-31 03:45:00,1045.48
2016-05-31 03:50:00,1045.57
2016-05-31 03:55:00,1046.71
2016-05-31 04:00:00,1047.87
2016-05-31 04:05:00,1049.02
2016-05-31 04:10:00,1050.18
2016-05-31 04:15:00,1051.33
2016-05-31 04:20:00,1052.47
2016-05-31 04:25:00,1053.62
2016-05-31 04:30:00,1054.75
2016-05-31 04:35:00,1055.88
2016-05-31 04:40:00,1057.01
2016-05-31 04:45:00,1058.13
2016-05-31 04:50:00,1058.13
2016-05-31 04:55:00,1058.11
2016-05-31 05:00:00,1059.09
2016-05-31 05:05:00,1060.11
2016-05-31 05:10:00,1043.71
2016-05-31 05:15:00,1042.22
2016-05-31 05:20:00,1041.23
2016-05-31 05:25:00,1040.34
2016-05-31 05:30:00,1039.5
2016-05-31 05:35:00,1038.71
2016-05-31 05:40:00,1037.95
2016-05-31 05:45:00,1037.22
2016-05-31 05:50:00,1036.51
2016-05-31 05:55:00,1036.51
2016-05-31 06:00:00,1029.36
2016-05-31 06:05:00,1028.51
2016-05-31 06:10:00,1010.15
2016-05-31 06:15:00,999.38
2016-05-31 06:20:00,989.78
2016-05-31 06:25:00,980.93
