date,value
2016-06-07 07:05:00,2795.83
2016-06-07 07:10:00,1776.35
2016-06-07 07:15:00,1137.58
2016-06-07 07:20:00,923.27
2016-06-07 07:25:00,806.96
2016-06-07 07:30:00,715.82
2016-06-07 07:35:00,639.87
2016-06-07 07:40:00,603.83
2016-06-07 07:45:00,256.19
2016-06-07 07:50:00,216.05
2016-06-07 07:55:00,186.2
2016-06-07 08:00:00,160.43
2016-06-07 08:05:00,137.63
2016-06-07 08:10:00,117.26
2016-06-07 08:15:00,98.95
2016-06-07 08:20:00,82.45
2016-06-07 08:25:00,67.61
2016-06-07 08:30:00,54.6
2016-06-07 08:35:00,43.96
2016-06-07 08:40:00,35.07
2016-06-07 08:45:00,27.38
2016-06-07 08:50:00,19.58
2016-06-07 08:55:00,12.36
2016-06-07 09:00:00,6.85
2016-06-07 09:05:00,305.55
2016-06-07 09:10:00,306.16
2016-06-07 09:15:00,0.13
2016-06-07 10:10:00,117.17
2016-06-07 10:15:00,213.94
2016-06-07 10:20:00,216.17
2016-06-07 10:40:00,58.93
2016-06-07 10:45:00,166.16
2016-06-07 10:50:00,167.84
2016-06-07 10:55:00,163.57
2016-06-07 11:00:00,158.08
2016-06-07 11:05:00,154.84
2016-06-07 11:10:00,151.71
2016-06-07 11:15:00,148.57
2016-06-07 11:20:00,145.24
2016-06-07 11:25:00,141.68
2016-06-07 11:30:00,138.3
2016-06-07 11:35:00,136.83
2016-06-07 12:10:00,46.66
2016-06-07 12:15:00,110.23
2016-06-07 12:20:00,120.01
2016-06-07 12:25:00,125.65
2016-06-07 12:30:00,130.08
2016-06-07 12:35:00,131.57
2016-06-07 12:40:00,131.23
2016-06-07 12:45:00,129.52
2016-06-07 12:50:00,126.83
2016-06-07 12:55:00,123.23
2016-06-07 13:00:00,118.79
2016-06-07 13:05:00,113.72
2016-06-07 17:45:00,7.09
2016-06-07 17:50:00,35.49
2016-06-07 17:55:00,52.44
2016-06-07 18:00:00,71.44
2016-06-07 18:05:00,87.89
2016-06-07 18:10:00,103.01
2016-06-07 18:15:00,117.53
2016-06-07 18:20:00,129.66
2016-06-07 18:25:00,143.04
2016-06-07 18:30:00,157.07
2016-06-07 18:35:00,167.84
2016-06-07 18:40:00,177.48
2016-06-07 18:45:00,186.42
2016-06-07 18:50:00,195.13
2016-06-07 18:55:00,203.63
2016-06-07 19:00:00,211.92
2016-06-07 19:05:00,220.03
2016-06-07 19:10:00,230.35
2016-06-07 19:15:00,238.61
2016-06-07 19:20:00,245.84
2016-06-07 19:25:00,252.73
2016-06-07 19:30:00,259.34
2016-06-07 19:35:00,265.72
2016-06-07 19:40:00,271.88
2016-06-07 19:45:00,277.82
2016-06-07 19:50:00,283.64
2016-06-07 19:55:00,289.02
2016-06-07 20:00:00,294.25
2016-06-07 20:05:00,297.19
2016-06-07 20:10:00,299.81
2016-06-07 20:15:00,302.13
2016-06-07 20:20:00,304.2
2016-06-07 20:25:00,306.04
2016-06-07 20:30:00,307.88
2016-06-07 20:35:00,309.59
2016-06-07 20:40:00,311.35
2016-06-07 20:45:00,312.95
2016-06-07 20:50:00,314.53
2016-06-07 20:55:00,316.06
2016-06-07 21:00:00,317.6
2016-06-07 21:05:00,319.24
2016-06-07 21:10:00,320.96
2016-06-07 21:15:00,322.6
2016-06-07 21:20:00,324
2016-06-07 21:25:00,325.7
2016-06-07 21:30:00,326.97
2016-06-07 21:35:00,328.21
2016-06-07 21:40:00,329.39
2016-06-07 21:45:00,330.49
2016-06-07 21:50:00,331.52
2016-06-07 21:55:00,332.5
2016-06-07 22:00:00,333.38
2016-06-08 07:05:00,2795.83
2016-06-08 07:10:00,1540.85
2016-06-08 07:15:00,929.21
2016-06-08 07:20:00,733.65
2016-06-08 07:25:00,627.67
2016-06-08 07:30:00,586.91
2016-06-08 07:35:00,233.21
2016-06-08 07:40:00,188.05
2016-06-08 07:45:00,153.67
2016-06-08 07:50:00,126.21
2016-06-08 07:55:00,101.31
2016-06-08 08:00:00,79.3
2016-06-08 08:05:00,61.79
2016-06-08 08:10:00,48.17
2016-06-08 08:15:00,34.98
2016-06-08 08:20:00,24.29
2016-06-08 08:25:00,13.86
