date,value
2016-05-31 00:00:00,913.7
2016-05-31 00:05:00,916.09
2016-05-31 00:10:00,918.34
2016-05-31 00:15:00,920.87
2016-05-31 00:20:00,923.16
2016-05-31 00:25:00,925.24
2016-05-31 00:30:00,915.54
2016-05-31 00:35:00,914.28
2016-05-31 00:40:00,916.29
2016-05-31 00:45:00,918.24
2016-05-31 00:50:00,920.03
2016-05-31 00:55:00,921.69
2016-05-31 01:00:00,923.21
2016-05-31 01:05:00,924.61
2016-05-31 01:10:00,925.9
2016-05-31 01:15:00,927.1
2016-05-31 01:20:00,928.2
2016-05-31 01:25:00,929.22
2016-05-31 01:30:00,930.17
2016-05-31 01:35:00,920.37
2016-05-31 01:40:00,918.07
2016-05-31 01:45:00,919.23
2016-05-31 01:50:00,920.42
2016-05-31 01:55:00,921.54
2016-05-31 02:00:00,922.6
2016-05-31 02:05:00,923.6
2016-05-31 02:10:00,924.55
2016-05-31 02:15:00,925.44
2016-05-31 02:20:00,926.28
2016-05-31 02:25:00,927.08
2016-05-31 02:30:00,927.83
2016-05-31 02:35:00,928.55
2016-05-31 02:40:00,918.78
2016-05-31 02:45:00,916.45
2016-05-31 02:50:00,917.45
2016-05-31 02:55:00,918.51
2016-05-31 03:00:00,919.52
2016-05-31 03:05:00,920.5
2016-05-31 03:10:00,921.43
2016-05-31 03:15:00,922.33
2016-05-31 03:20:00,923.2
2016-05-31 03:25:00,924.03
2016-05-31 03:30:00,924.83
2016-05-31 03:35:00,925.61
2016-05-31 03:40:00,926.36
2016-05-31 03:45:00,916.63
2016-05-31 03:50:00,914.48
2016-05-31 03:55:00,915.54
2016-05-31 04:00:00,916.65
2016-05-31 04:05:00,917.73
2016-05-31 04:10:00,918.78
2016-05-31 04:15:00,919.8
2016-05-31 04:20:00,920.78
2016-05-31 04:25:00,921.74
2016-05-31 04:30:00,922.67
2016-05-31 04:35:00,923.58
2016-05-31 04:40:00,924.46
2016-05-31 04:45:00,925.31
2016-05-31 04:50:00,915.6
2016-05-31 04:55:00,913.71
2016-05-31 05:00:00,914.88
2016-05-31 05:05:00,916.1
2016-05-31 05:10:00,903.89
2016-05-31 05:15:00,900.26
2016-05-31 05:20:00,897.4
2016-05-31 05:25:00,894.8
2016-05-31 05:30:00,892.41
2016-05-31 05:35:00,890.19
2016-05-31 05:40:00,888.12
2016-05-31 05:45:00,886.18
2016-05-31 05:50:00,884.37
2016-05-31 05:55:00,875.43
2016-05-31 06:00:00,869.24
2016-05-31 06:05:00,867.99
2016-05-31 06:10:00,861.95
2016-05-31 06:15:00,856.92
2016-05-31 06:20:00,852.47
2016-05-31 06:25:00,848.5
2016-05-31 06:30:00,844.95
2016-05-31 06:35:00,841.75
2016-05-31 06:40:00,838.86
2016-05-31 06:45:00,836.23
2016-05-31 06:50:00,833.85
2016-05-31 06:55:00,831.66
2016-05-31 07:00:00,829.65
2016-05-31 07:05:00,827.8
2016-05-31 07:10:00,825
2016-05-31 07:15:00,821.38
2016-05-31 07:20:00,817.49
2016-05-31 07:25:00,813.39
2016-05-31 07:30:00,810.63
2016-05-31 07:35:00,816.71
2016-05-31 07:40:00,826.57
2016-05-31 07:45:00,835.3
2016-05-31 07:50:00,843.36
2016-05-31 07:55:00,859.38
2016-05-31 08:00:00,874.34
2016-05-31 08:05:00,892.71
2016-05-31 08:10:00,909.91
2016-05-31 08:15:00,925.84
2016-05-31 08:20:00,941.03
2016-05-31 08:25:00,951.64
2016-05-31 08:30:00,962.26
2016-05-31 08:35:00,972.84
2016-05-31 08:40:00,983.36
2016-05-31 08:45:00,997.73
2016-05-31 08:50:00,1011.39
2016-05-31 08:55:00,1024.29
2016-05-31 09:00:00,1028.65
2016-05-31 09:05:00,1029.14
2016-05-31 09:10:00,1034.4
2016-05-31 09:15:00,1044.12
2016-05-31 09:20:00,1053.59
2016-05-31 09:25:00,1066.56
2016-05-31 09:30:00,1078.27
2016-05-31 09:35:00,1089.31
2016-05-31 09:40:00,1099.76
2016-05-31 09:45:00,1109.45
2016-05-31 09:50:00,1118.6
2016-05-31 09:55:00,1127.35
2016-05-31 10:00:00,1135.73
2016-05-31 10:05:00,1135.64
2016-05-31 10:10:00,1131.85
2016-05-31 10:15:00,1132.33
2016-05-31 10:20:00,1128.68
2016-05-31 10:25:00,1133.34
2016-05-31 10:30:00,1141.49
2016-05-31 10:35:00,1149.01
2016-05-31 10:40:00,1140.04
2016-05-31 10:45:00,1126.92
2016-05-31 10:50:00,1117.75
2016-05-31 10:55:00,1112.03
2016-05-31 11:00:00,1109
2016-05-31 11:05:00,1108.03
2016-05-31 11:10:00,1108.66
2016-05-31 11:15:00,1110.51
2016-05-31 11:20:00,1113.28
2016-05-31 11:25:00,1121.25
2016-05-31 11:30:00,1129.2
2016-05-31 11:35:00,1139.38
2016-05-31 11:40:00,1147.08
2016-05-31 11:45:00,1160.55
2016-05-31 11:50:00,1170
2016-05-31 11:55:00,1178.74
2016-05-31 12:00:00,1178.91
2016-05-31 12:05:00,1179.39
2016-05-31 12:10:00,1175.77
2016-05-31 12:15:00,1168.21
2016-05-31 12:20:00,1160.72
2016-05-31 12:25:00,1150.38
2016-05-31 12:30:00,1140.29
2016-05-31 12:35:00,1130.35
2016-05-31 12:40:00,1120.52
2016-05-31 12:45:00,1110.32
2016-05-31 12:50:00,1101.1
2016-05-31 12:55:00,1097.15
2016-05-31 13:00:00,1096.69
2016-05-31 13:05:00,1099.32
2016-05-31 13:10:00,1101.41
2016-05-31 13:15:00,1107.38
2016-05-31 13:20:00,1116.85
2016-05-31 13:25:00,1125.53
2016-05-31 13:30:00,1133.64
2016-05-31 13:35:00,1141.38
2016-05-31 13:40:00,1148.96
2016-05-31 13:45:00,1156.38
2016-05-31 13:50:00,1163.62
2016-05-31 13:55:00,1170.68
2016-05-31 14:00:00,1177.55
2016-05-31 14:05:00,1180.32
2016-05-31 14:10:00,1172.57
2016-05-31 14:15:00,1160.91
2016-05-31 14:20:00,1153.55
2016-05-31 14:25:00,1150.04
2016-05-31 14:30:00,1149.31
2016-05-31 14:35:00,1150.6
2016-05-31 14:40:00,1153.36
2016-05-31 14:45:00,1157.12
2016-05-31 14:50:00,1161.55
2016-05-31 14:55:00,1166.39
2016-05-31 15:00:00,1179.61
2016-05-31 15:05:00,1195.22
2016-05-31 15:10:00,1208.76
2016-05-31 15:15:00,1221.65
2016-05-31 15:20:00,1229.5
2016-05-31 15:25:00,1236.77
2016-05-31 15:30:00,1240.14
2016-05-31 15:35:00,1232.91
2016-05-31 15:40:00,1228.07
2016-05-31 15:45:00,1232.74
2016-05-31 15:50:00,1248.74
2016-05-31 15:55:00,1261.95
2016-05-31 16:00:00,1269.61
2016-05-31 16:05:00,1268.79
2016-05-31 16:10:00,1265.27
2016-05-31 16:15:00,1267.17
2016-05-31 16:20:00,1265.55
2016-05-31 16:25:00,1269.23
2016-05-31 16:30:00,1281.05
2016-05-31 16:35:00,1291.87
2016-05-31 16:40:00,1301.95
2016-05-31 16:45:00,1311.23
2016-05-31 16:50:00,1320.24
2016-05-31 16:55:00,1324.98
2016-05-31 17:00:00,1329.75
2016-05-31 17:05:00,1326.5
2016-05-31 17:10:00,1323.87
2016-05-31 17:15:00,1312.78
2016-05-31 17:20:00,1302.31
2016-05-31 17:25:00,1292.03
2016-05-31 17:30:00,1281.29
2016-05-31 17:35:00,1271.06
2016-05-31 17:40:00,1259.58
2016-05-31 17:45:00,1250.18
2016-05-31 17:50:00,1241.04
2016-05-31 17:55:00,1231.41
2016-05-31 18:00:00,1221.95
2016-05-31 18:05:00,1212.2
2016-05-31 18:10:00,1202.45
2016-05-31 18:15:00,1192.6
2016-05-31 18:20:00,1182.14
2016-05-31 18:25:00,1172.31
2016-05-31 18:30:00,1163.26
2016-05-31 18:35:00,1154.38
2016-05-31 18:40:00,1146.39
2016-05-31 18:45:00,1136.81
2016-05-31 18:50:00,1127.6
2016-05-31 18:55:00,1118.73
2016-05-31 19:00:00,1110.18
2016-05-31 19:05:00,1101.91
2016-05-31 19:10:00,1093.92
2016-05-31 19:15:00,1086.19
2016-05-31 19:20:00,1078.7
2016-05-31 19:25:00,1071.62
2016-05-31 19:30:00,1064.74
2016-05-31 19:35:00,1059.01
2016-05-31 19:40:00,1052.56
2016-05-31 19:45:00,1045.62
2016-05-31 19:50:00,1038.85
2016-05-31 19:55:00,1032.24
2016-05-31 20:00:00,1025.68
2016-05-31 20:05:00,1019.25
2016-05-31 20:10:00,1012.81
2016-05-31 20:15:00,1006.21
2016-05-31 20:20:00,999.66
2016-05-31 20:25:00,993.16
2016-05-31 20:30:00,986.15
2016-05-31 20:35:00,979.29
2016-05-31 20:40:00,972.62
