date,value
2016-05-31 00:00:00,492.07
2016-05-31 00:05:00,491.81
2016-05-31 00:10:00,491.55
2016-05-31 00:15:00,491.28
2016-05-31 00:20:00,491
2016-05-31 00:25:00,490.71
2016-05-31 00:30:00,490.41
2016-05-31 00:35:00,490.11
2016-05-31 00:40:00,489.8
2016-05-31 00:45:00,489.48
2016-05-31 00:50:00,489.16
2016-05-31 00:55:00,488.83
2016-05-31 01:00:00,488.5
2016-05-31 01:05:00,488.16
2016-05-31 01:10:00,487.82
2016-05-31 01:15:00,487.47
2016-05-31 01:20:00,487.12
2016-05-31 01:25:00,486.76
2016-05-31 01:30:00,486.4
2016-05-31 01:35:00,486.04
2016-05-31 01:40:00,485.67
2016-05-31 01:45:00,485.3
2016-05-31 01:50:00,484.93
2016-05-31 01:55:00,484.55
2016-05-31 02:00:00,484.17
2016-05-31 02:05:00,483.79
2016-05-31 02:10:00,483.41
2016-05-31 02:15:00,483.03
2016-05-31 02:20:00,482.64
2016-05-31 02:25:00,482.25
2016-05-31 02:30:00,481.86
2016-05-31 02:35:00,481.47
2016-05-31 02:40:00,481.08
2016-05-31 02:45:00,480.69
2016-05-31 02:50:00,480.3
2016-05-31 02:55:00,479.9
2016-05-31 03:00:00,479.51
2016-05-31 03:05:00,479.12
2016-05-31 03:10:00,478.72
2016-05-31 03:15:00,478.33
2016-05-31 03:20:00,477.93
2016-05-31 03:25:00,477.53
2016-05-31 03:30:00,477.14
2016-05-31 03:35:00,476.74
2016-05-31 03:40:00,476.35
2016-05-31 03:45:00,475.95
2016-05-31 03:50:00,475.56
2016-05-31 03:55:00,475.16
2016-05-31 04:00:00,474.77
2016-05-31 04:05:00,474.38
2016-05-31 04:10:00,473.98
2016-05-31 04:15:00,473.59
2016-05-31 04:20:00,473.2
2016-05-31 04:25:00,472.81
2016-05-31 04:30:00,472.42
2016-05-31 04:35:00,472.03
2016-05-31 04:40:00,471.64
2016-05-31 04:45:00,471.25
2016-05-31 04:50:00,470.87
2016-05-31 04:55:00,470.48
2016-05-31 05:00:00,470.1
2016-05-31 05:05:00,469.72
2016-05-31 05:10:00,468.52
2016-05-31 05:15:00,467.88
2016-05-31 05:20:00,467.29
2016-05-31 05:25:00,466.73
2016-05-31 05:30:00,466.2
2016-05-31 05:35:00,465.69
2016-05-31 05:40:00,465.19
2016-05-31 05:45:00,464.71
2016-05-31 05:50:00,464.24
2016-05-31 05:55:00,463.79
2016-05-31 06:00:00,463.34
2016-05-31 06:05:00,462.9
2016-05-31 06:10:00,462.09
2016-05-31 06:15:00,461.52
2016-05-31 06:20:00,461.01
2016-05-31 06:25:00,460.53
2016-05-31 06:30:00,460.08
2016-05-31 06:35:00,459.66
2016-05-31 06:40:00,459.26
2016-05-31 06:45:00,458.88
2016-05-31 06:50:00,458.53
2016-05-31 06:55:00,458.19
2016-05-31 07:00:00,457.86
2016-05-31 07:05:00,457.55
2016-05-31 07:10:00,456.48
2016-05-31 07:15:00,455.22
2016-05-31 07:20:00,454.02
2016-05-31 07:25:00,452.86
2016-05-31 07:30:00,451.76
2016-05-31 07:35:00,450.77
2016-05-31 07:40:00,453
2016-05-31 07:45:00,451.89
2016-05-31 07:50:00,451.18
2016-05-31 07:55:00,450.88
2016-05-31 08:00:00,450.94
2016-05-31 08:05:00,451.37
2016-05-31 08:10:00,455.3
2016-05-31 08:15:00,456.02
2016-05-31 08:20:00,457.32
2016-05-31 08:25:00,462.33
