date,value
2016-06-03 21:10:00,17.25
2016-06-03 21:30:00,0.76
2016-06-03 21:35:00,11.59
2016-06-03 21:40:00,26.31
2016-06-03 21:45:00,41.18
2016-06-03 21:50:00,55.69
2016-06-03 21:55:00,69.82
2016-06-03 22:00:00,83.61
2016-06-03 22:05:00,97.35
2016-06-03 22:10:00,175.47
2016-06-03 22:15:00,189.92
2016-06-03 22:20:00,204.82
2016-06-03 22:25:00,219.98
2016-06-03 22:30:00,235.12
2016-06-03 22:35:00,250.09
2016-06-03 22:40:00,264.8
2016-06-03 22:45:00,279.21
2016-06-03 22:50:00,293.35
2016-06-03 22:55:00,307.18
2016-06-03 23:00:00,320.77
2016-06-03 23:05:00,334.14
2016-06-03 23:10:00,347.3
2016-06-03 23:15:00,360.19
2016-06-03 23:20:00,372.89
2016-06-03 23:25:00,385.28
2016-06-03 23:30:00,394.65
2016-06-03 23:35:00,404.62
2016-06-03 23:40:00,416.14
2016-06-03 23:45:00,427.85
2016-06-03 23:50:00,439.5
2016-06-03 23:55:00,451.02
2016-06-04 00:00:00,462.4
2016-06-04 00:05:00,524.91
2016-06-04 00:10:00,646.84
2016-06-04 00:15:00,657.36
2016-06-04 00:20:00,668.26
2016-06-04 00:25:00,679.01
2016-06-04 00:30:00,690.04
2016-06-04 00:35:00,700.52
2016-06-04 00:40:00,710.79
2016-06-04 00:45:00,720.98
2016-06-04 00:50:00,731.08
2016-06-04 00:55:00,741.08
2016-06-04 01:00:00,750.98
2016-06-04 01:05:00,760.79
2016-06-04 01:10:00,770.2
2016-06-04 01:15:00,779.54
2016-06-04 01:20:00,788.86
2016-06-04 01:25:00,798.13
2016-06-04 01:30:00,807.35
2016-06-04 01:35:00,817.17
2016-06-04 01:40:00,826.24
2016-06-04 01:45:00,835.4
2016-06-04 01:50:00,844.54
2016-06-04 01:55:00,853.25
2016-06-04 02:00:00,861.89
2016-06-04 02:05:00,870.5
2016-06-04 02:10:00,879.05
2016-06-04 02:15:00,887.55
2016-06-04 02:20:00,895.99
2016-06-04 02:25:00,904.36
2016-06-04 02:30:00,912.66
2016-06-04 02:35:00,920.89
2016-06-04 02:40:00,929.59
2016-06-04 02:45:00,937.93
2016-06-04 02:50:00,946.07
2016-06-04 02:55:00,954.13
2016-06-04 03:00:00,961.83
2016-06-04 03:05:00,969.47
2016-06-04 03:10:00,977.1
2016-06-04 03:15:00,984.67
2016-06-04 03:20:00,992.2
2016-06-04 03:25:00,999.67
2016-06-04 03:30:00,1007.08
2016-06-04 03:35:00,1014.44
2016-06-04 03:40:00,1021.74
2016-06-04 03:45:00,1029.46
2016-06-04 03:50:00,1036.87
2016-06-04 03:55:00,1044.1
2016-06-04 04:00:00,1051.27
2016-06-04 04:05:00,1058.14
2016-06-04 04:10:00,1064.95
2016-06-04 04:15:00,1071.74
2016-06-04 04:20:00,1078.5
2016-06-04 04:25:00,1085.21
2016-06-04 04:30:00,1091.88
2016-06-04 04:35:00,1098.49
2016-06-04 04:40:00,1105.05
2016-06-04 04:45:00,1111.55
2016-06-04 04:50:00,1118.41
2016-06-04 04:55:00,1125
2016-06-04 05:00:00,1131.43
2016-06-04 05:05:00,1137.79
2016-06-04 05:10:00,1144.34
2016-06-04 05:15:00,1150.76
2016-06-04 05:20:00,1157.05
2016-06-04 05:25:00,1163.25
2016-06-04 05:30:00,1169.4
2016-06-04 05:35:00,1175.46
2016-06-04 05:40:00,1181.41
2016-06-04 05:45:00,1187.32
2016-06-04 05:50:00,1193.17
2016-06-04 05:55:00,1199
2016-06-04 06:00:00,1204.07
2016-06-04 06:05:00,1207.89
2016-06-04 06:10:00,1054.47
2016-06-04 06:15:00,1056.28
2016-06-04 06:20:00,1056.54
2016-06-04 06:25:00,1056.31
2016-06-04 06:30:00,1056
2016-06-04 06:35:00,1055.77
2016-06-04 06:40:00,1055.71
2016-06-04 06:45:00,1055.81
2016-06-04 06:50:00,1056.07
2016-06-04 06:55:00,1056.5
2016-06-04 07:00:00,1057.08
2016-06-04 07:05:00,1057.76
2016-06-04 07:10:00,972.76
2016-06-04 07:15:00,974.2
2016-06-04 07:20:00,975.45
2016-06-04 07:25:00,976.52
2016-06-04 07:30:00,977.36
2016-06-04 07:35:00,977.96
2016-06-04 07:40:00,978.34
2016-06-04 07:45:00,978.52
2016-06-04 07:50:00,978.53
2016-06-04 07:55:00,978.18
2016-06-04 08:00:00,971.5
2016-06-04 08:05:00,965.9
2016-06-04 08:10:00,876.16
2016-06-04 08:15:00,875.96
2016-06-04 08:20:00,876.06
2016-06-04 08:25:00,876.19
2016-06-04 08:30:00,876.33
2016-06-04 08:35:00,876.41
2016-06-04 08:40:00,876.44
2016-06-04 08:45:00,876.4
2016-06-04 08:50:00,876.31
2016-06-04 08:55:00,876.15
2016-06-04 09:00:00,868.39
2016-06-04 09:05:00,860.37
2016-06-04 09:10:00,725.6
2016-06-04 09:15:00,725.72
2016-06-04 09:20:00,726.47
2016-06-04 09:25:00,727.22
2016-06-04 09:30:00,727.78
2016-06-04 09:35:00,728.11
2016-06-04 09:40:00,727.93
2016-06-04 09:45:00,715.54
2016-06-04 09:50:00,704.86
2016-06-04 09:55:00,702.06
2016-06-04 10:00:00,701.22
2016-06-04 10:05:00,700.58
2016-06-04 10:10:00,742.82
2016-06-04 10:15:00,741.55
2016-06-04 10:20:00,739.93
2016-06-04 10:25:00,733.36
2016-06-04 10:30:00,720.81
2016-06-04 10:35:00,713.33
2016-06-04 10:40:00,710.72
2016-06-04 10:45:00,708.96
2016-06-04 10:50:00,707.33
2016-06-04 10:55:00,705.7
2016-06-04 11:00:00,704.05
2016-06-04 11:05:00,702.36
2016-06-04 11:10:00,610.59
2016-06-04 11:15:00,596.24
2016-06-04 11:20:00,587.77
2016-06-04 11:25:00,585.73
2016-06-04 11:30:00,584.72
2016-06-04 11:35:00,583.74
2016-06-04 11:40:00,582.63
2016-06-04 11:45:00,581.36
2016-06-04 11:50:00,567.81
2016-06-04 11:55:00,554.6
2016-06-04 12:00:00,549.78
2016-06-04 12:05:00,547.65
2016-06-04 12:10:00,610.76
2016-06-04 12:15:00,608.46
2016-06-04 12:20:00,606.05
2016-06-04 12:25:00,603.8
2016-06-04 12:30:00,590.67
2016-06-04 12:35:00,578.25
2016-06-04 12:40:00,573.27
2016-06-04 12:45:00,570.75
2016-06-04 12:50:00,568.4
2016-06-04 12:55:00,566.08
2016-06-04 13:00:00,563.77
2016-06-04 13:05:00,561.43
2016-06-04 13:10:00,577.51
2016-06-04 13:15:00,563.22
2016-06-04 13:20:00,552.83
2016-06-04 13:25:00,548.95
2016-06-04 13:30:00,546.25
2016-06-04 13:35:00,543.75
2016-06-04 13:40:00,541.26
2016-06-04 13:45:00,538.73
2016-06-04 13:50:00,536.15
2016-06-04 13:55:00,531.96
2016-06-04 14:00:00,517.51
2016-06-04 14:05:00,506.28
2016-06-04 14:10:00,589.62
2016-06-04 14:15:00,585.88
2016-06-04 14:20:00,582.09
2016-06-04 14:25:00,578.18
2016-06-04 14:30:00,574.18
2016-06-04 14:35:00,570.11
2016-06-04 14:40:00,565.98
2016-06-04 14:45:00,561.78
2016-06-04 14:50:00,554.96
2016-06-04 14:55:00,541.69
2016-06-04 15:00:00,531.57
2016-06-04 15:05:00,526.1
2016-06-04 15:10:00,565.16
2016-06-04 15:15:00,560.22
2016-06-04 15:20:00,555.18
2016-06-04 15:25:00,550.09
2016-06-04 15:30:00,544.97
2016-06-04 15:35:00,539.82
2016-06-04 15:40:00,534.65
2016-06-04 15:45:00,529.43
2016-06-04 15:50:00,524.18
2016-06-04 15:55:00,514.84
2016-06-04 16:00:00,502.24
2016-06-04 16:05:00,493.14
2016-06-04 16:10:00,465.13
2016-06-04 16:15:00,459.74
2016-06-04 16:20:00,454.42
2016-06-04 16:25:00,449.06
2016-06-04 16:30:00,443.65
2016-06-04 16:35:00,438.21
2016-06-04 16:40:00,432.73
2016-06-04 16:45:00,427.25
2016-06-04 16:50:00,421.76
2016-06-04 16:55:00,416.17
2016-06-04 17:00:00,402.79
2016-06-04 17:05:00,390.49
2016-06-04 17:10:00,536.57
2016-06-04 17:15:00,529.83
2016-06-04 17:20:00,523.44
2016-06-04 17:25:00,517.25
2016-06-04 17:30:00,511.23
2016-06-04 17:35:00,505.4
2016-06-04 17:40:00,499.75
2016-06-04 17:45:00,494.3
2016-06-04 17:50:00,489.05
2016-06-04 17:55:00,484.01
2016-06-04 18:00:00,479.17
2016-06-04 18:05:00,474.57
2016-06-04 18:10:00,470.43
2016-06-04 18:15:00,467.24
2016-06-04 18:20:00,464.87
2016-06-04 18:25:00,463.09
2016-06-04 18:30:00,461.79
2016-06-04 18:35:00,460.89
2016-06-04 18:40:00,460.36
2016-06-04 18:45:00,460.15
2016-06-04 18:50:00,460.25
2016-06-04 18:55:00,458.7
2016-06-04 19:00:00,455.45
2016-06-04 19:05:00,454.2
2016-06-04 19:10:00,609.64
2016-06-04 19:15:00,609.91
2016-06-04 19:20:00,611.17
2016-06-04 19:25:00,612.6
2016-06-04 19:30:00,614.23
2016-06-04 19:35:00,616.06
2016-06-04 19:40:00,618.11
2016-06-04 19:45:00,620.37
2016-06-04 19:50:00,622.86
2016-06-04 19:55:00,625.57
2016-06-04 20:00:00,628.49
2016-06-04 20:05:00,631.44
2016-06-04 20:10:00,634.56
2016-06-04 20:15:00,637.86
2016-06-04 20:20:00,641.73
2016-06-04 20:25:00,645.46
2016-06-04 20:30:00,649.17
2016-06-04 20:35:00,652.96
2016-06-04 20:40:00,656.8
