date,value
2016-05-31 00:00:00,13405.33
2016-05-31 00:05:00,13212.05
2016-05-31 00:10:00,13150.33
2016-05-31 00:15:00,13129.66
2016-05-31 00:20:00,13117.41
2016-05-31 00:25:00,9785.78
2016-05-31 00:30:00,13193.18
2016-05-31 00:35:00,13122.64
2016-05-31 00:40:00,13114.34
2016-05-31 00:45:00,13105.85
2016-05-31 00:50:00,13099.38
2016-05-31 00:55:00,13092.63
2016-05-31 01:00:00,13087.43
2016-05-31 01:05:00,13086.95
2016-05-31 01:10:00,13086.78
2016-05-31 01:15:00,13086.74
2016-05-31 01:20:00,13086.78
2016-05-31 01:25:00,13086.82
2016-05-31 01:30:00,9796.38
2016-05-31 01:35:00,13176.89
2016-05-31 01:40:00,13104.04
2016-05-31 01:45:00,13098.71
2016-05-31 01:50:00,13093.03
2016-05-31 01:55:00,13089.51
2016-05-31 02:00:00,13087.16
2016-05-31 02:05:00,13085.11
2016-05-31 02:10:00,13083.31
2016-05-31 02:15:00,13081.51
2016-05-31 02:20:00,13079.71
2016-05-31 02:25:00,13077.9
2016-05-31 02:30:00,13076.09
2016-05-31 02:35:00,9783.48
2016-05-31 02:40:00,13127.81
2016-05-31 02:45:00,13089.74
2016-05-31 02:50:00,13081.28
2016-05-31 02:55:00,13073.77
2016-05-31 03:00:00,13068.52
2016-05-31 03:05:00,13064.47
2016-05-31 03:10:00,13061.08
2016-05-31 03:15:00,13059.23
2016-05-31 03:20:00,13056.28
2016-05-31 03:25:00,13053.45
2016-05-31 03:30:00,13050.66
2016-05-31 03:35:00,13047.82
2016-05-31 03:40:00,9756.14
2016-05-31 03:45:00,13085.69
2016-05-31 03:50:00,13059.33
2016-05-31 03:55:00,13049.75
2016-05-31 04:00:00,13041.45
2016-05-31 04:05:00,13035.41
2016-05-31 04:10:00,13029.39
2016-05-31 04:15:00,13025.13
2016-05-31 04:20:00,13021.32
2016-05-31 04:25:00,13017.73
2016-05-31 04:30:00,13014.26
2016-05-31 04:35:00,13010.95
2016-05-31 04:40:00,13007.63
2016-05-31 04:45:00,9718.78
2016-05-31 04:50:00,13039.33
2016-05-31 04:55:00,13017.39
2016-05-31 05:00:00,13007.29
2016-05-31 05:05:00,18672.51
2016-05-31 05:10:00,16290.43
2016-05-31 05:15:00,16051.43
2016-05-31 05:20:00,15978.37
2016-05-31 05:25:00,15922.59
2016-05-31 05:30:00,15876.97
2016-05-31 05:35:00,15837.81
2016-05-31 05:40:00,15803.47
2016-05-31 05:45:00,15772.54
2016-05-31 05:50:00,12167.59
2016-05-31 05:55:00,16413.3
2016-05-31 06:00:00,15975.86
2016-05-31 06:05:00,19365.84
2016-05-31 06:10:00,17664.55
2016-05-31 06:15:00,17476.05
2016-05-31 06:20:00,17411.09
2016-05-31 06:25:00,17421.86
2016-05-31 06:30:00,17456.1
2016-05-31 06:35:00,17465.84
2016-05-31 06:40:00,17456.45
2016-05-31 06:45:00,17445.82
2016-05-31 06:50:00,17444.48
2016-05-31 06:55:00,17434.44
2016-05-31 07:00:00,17436.86
2016-05-31 07:05:00,26045.42
2016-05-31 07:10:00,25717.53
2016-05-31 07:15:00,24988.87
2016-05-31 07:20:00,24711.63
2016-05-31 07:25:00,25875.77
2016-05-31 07:30:00,27163.46
2016-05-31 07:35:00,28554.49
2016-05-31 07:40:00,31095.73
2016-05-31 07:45:00,32075.09
2016-05-31 07:50:00,33042.24
2016-05-31 07:55:00,33759.73
2016-05-31 08:00:00,34295.42
2016-05-31 08:05:00,34046.36
2016-05-31 08:10:00,35478.54
2016-05-31 08:15:00,35819.59
2016-05-31 08:20:00,36202.12
2016-05-31 08:25:00,36516.41
2016-05-31 08:30:00,36805.45
2016-05-31 08:35:00,36742.04
2016-05-31 08:40:00,36956.77
2016-05-31 08:45:00,37574.53
2016-05-31 08:50:00,37846.05
2016-05-31 08:55:00,39122.23
2016-05-31 09:00:00,37878.98
2016-05-31 09:05:00,39504.57
2016-05-31 09:10:00,39270
2016-05-31 09:15:00,39691.01
2016-05-31 09:20:00,38732.37
2016-05-31 09:25:00,39518.86
2016-05-31 09:30:00,39418.31
2016-05-31 09:35:00,39682.3
2016-05-31 09:40:00,39801.28
2016-05-31 09:45:00,40752.78
2016-05-31 09:50:00,41117.93
2016-05-31 09:55:00,41462.98
2016-05-31 10:00:00,41247.95
2016-05-31 10:05:00,40980.67
2016-05-31 10:10:00,40326.93
2016-05-31 10:15:00,41682.81
2016-05-31 10:20:00,42061.58
2016-05-31 10:25:00,42469.58
2016-05-31 10:30:00,42805.53
2016-05-31 10:35:00,42887.27
2016-05-31 10:40:00,40704.5
2016-05-31 10:45:00,40581.81
2016-05-31 10:50:00,40587.65
2016-05-31 10:55:00,40571.18
2016-05-31 11:00:00,40592.36
2016-05-31 11:05:00,40644.17
2016-05-31 11:10:00,40872.89
2016-05-31 11:15:00,40858.86
2016-05-31 11:20:00,41194.38
2016-05-31 11:25:00,41598.92
2016-05-31 11:30:00,42763.57
2016-05-31 11:35:00,44951.82
2016-05-31 11:40:00,45164.74
2016-05-31 11:45:00,44699.79
2016-05-31 11:50:00,44754.11
2016-05-31 11:55:00,44807
2016-05-31 12:00:00,44745.03
2016-05-31 12:05:00,44195.82
2016-05-31 12:10:00,43917.24
2016-05-31 12:15:00,43725.76
2016-05-31 12:20:00,40570.44
2016-05-31 12:25:00,40393
2016-05-31 12:30:00,40341.54
2016-05-31 12:35:00,39122.57
2016-05-31 12:40:00,39348.97
2016-05-31 12:45:00,39899.76
2016-05-31 12:50:00,41729
2016-05-31 12:55:00,42077.22
2016-05-31 13:00:00,42784.8
2016-05-31 13:05:00,43215.33
2016-05-31 13:10:00,44066.13
2016-05-31 13:15:00,44395.09
2016-05-31 13:20:00,45022.27
2016-05-31 13:25:00,45322.07
2016-05-31 13:30:00,45583.33
2016-05-31 13:35:00,45786.6
2016-05-31 13:40:00,45990.24
2016-05-31 13:45:00,46122.43
2016-05-31 13:50:00,46289.92
2016-05-31 13:55:00,45265.05
2016-05-31 14:00:00,45403.28
2016-05-31 14:05:00,45588.44
2016-05-31 14:10:00,42875.71
2016-05-31 14:15:00,42595.6
2016-05-31 14:20:00,42511.75
2016-05-31 14:25:00,42442.35
2016-05-31 14:30:00,42386.99
2016-05-31 14:35:00,42316.92
2016-05-31 14:40:00,42179.87
2016-05-31 14:45:00,43081.99
2016-05-31 14:50:00,43080.51
2016-05-31 14:55:00,43901.62
2016-05-31 15:00:00,45542.63
2016-05-31 15:05:00,45676.52
2016-05-31 15:10:00,45498.5
2016-05-31 15:15:00,44735.59
2016-05-31 15:20:00,44765.28
2016-05-31 15:25:00,45939.01
2016-05-31 15:30:00,44299
