date,value
2016-05-31 00:00:00,83922.6
2016-05-31 00:05:00,74934.11
2016-05-31 00:10:00,74872.4
2016-05-31 00:15:00,77222.07
2016-05-31 00:20:00,77209.81
2016-05-31 00:25:00,73878.18
2016-05-31 00:30:00,77285.59
2016-05-31 00:35:00,77215.04
2016-05-31 00:40:00,77206.74
2016-05-31 00:45:00,77198.26
2016-05-31 00:50:00,77191.79
2016-05-31 00:55:00,77185.03
2016-05-31 01:00:00,77179.83
2016-05-31 01:05:00,77179.35
2016-05-31 01:10:00,77179.18
2016-05-31 01:15:00,77179.15
2016-05-31 01:20:00,77179.19
2016-05-31 01:25:00,77179.22
2016-05-31 01:30:00,73888.78
2016-05-31 01:35:00,77269.29
2016-05-31 01:40:00,77196.45
2016-05-31 01:45:00,77191.12
2016-05-31 01:50:00,77185.44
2016-05-31 01:55:00,77181.92
2016-05-31 02:00:00,77179.56
2016-05-31 02:05:00,77177.52
2016-05-31 02:10:00,77175.72
2016-05-31 02:15:00,74803.57
2016-05-31 02:20:00,74801.77
2016-05-31 02:25:00,74799.97
2016-05-31 02:30:00,77168.49
2016-05-31 02:35:00,75385.41
2016-05-31 02:40:00,76359.41
2016-05-31 02:45:00,76321.34
2016-05-31 02:50:00,76312.88
2016-05-31 02:55:00,76305.37
2016-05-31 03:00:00,76300.11
2016-05-31 03:05:00,76296.07
2016-05-31 03:10:00,76292.67
2016-05-31 03:15:00,76290.82
2016-05-31 03:20:00,78658.21
2016-05-31 03:25:00,78655.39
2016-05-31 03:30:00,78652.6
2016-05-31 03:35:00,77140.23
2016-05-31 03:40:00,73848.54
2016-05-31 03:45:00,77178.1
2016-05-31 03:50:00,77151.74
2016-05-31 03:55:00,77142.16
2016-05-31 04:00:00,77133.86
2016-05-31 04:05:00,77127.82
2016-05-31 04:10:00,77121.79
2016-05-31 04:15:00,77117.53
2016-05-31 04:20:00,77113.72
2016-05-31 04:25:00,77110.13
2016-05-31 04:30:00,77106.66
2016-05-31 04:35:00,77103.36
2016-05-31 04:40:00,77100.03
2016-05-31 04:45:00,73811.18
2016-05-31 04:50:00,77131.73
2016-05-31 04:55:00,77109.79
2016-05-31 05:00:00,77099.7
2016-05-31 05:05:00,82764.91
2016-05-31 05:10:00,80382.84
2016-05-31 05:15:00,80143.83
2016-05-31 05:20:00,80070.78
2016-05-31 05:25:00,80014.99
2016-05-31 05:30:00,79969.37
2016-05-31 05:35:00,79930.21
2016-05-31 05:40:00,79895.88
2016-05-31 05:45:00,79864.95
2016-05-31 05:50:00,76259.99
2016-05-31 05:55:00,80505.7
2016-05-31 06:00:00,80068.26
2016-05-31 06:05:00,82597.44
2016-05-31 06:10:00,80896.15
2016-05-31 06:15:00,80707.64
2016-05-31 06:20:00,80642.68
2016-05-31 06:25:00,80653.46
2016-05-31 06:30:00,80687.69
2016-05-31 06:35:00,80697.44
2016-05-31 06:40:00,80688.05
2016-05-31 06:45:00,80677.42
2016-05-31 06:50:00,80676.08
2016-05-31 06:55:00,83036.38
2016-05-31 07:00:00,83038.8
2016-05-31 07:05:00,123853.21
2016-05-31 07:10:00,126968.54
2016-05-31 07:15:00,126239.89
2016-05-31 07:20:00,125962.65
2016-05-31 07:25:00,137525.09
2016-05-31 07:30:00,141557.38
2016-05-31 07:35:00,147289.87
2016-05-31 07:40:00,159573.49
2016-05-31 07:45:00,160552.86
