date,value
2016-05-31 07:30:00,81591.89
2016-05-31 08:10:00,84394.84
2016-05-31 08:35:00,84674.12
2016-05-31 09:00:00,84674.73
2016-05-31 09:25:00,85265.74
2016-05-31 09:45:00,54617.27
2016-05-31 09:50:00,30634.78
2016-05-31 10:10:00,85458.35
2016-05-31 10:30:00,22228.42
2016-05-31 10:35:00,63222.51
2016-05-31 10:55:00,85479.25
2016-05-31 11:15:00,87116.38
2016-05-31 11:35:00,87148.43
2016-05-31 11:55:00,87149.46
2016-05-31 12:10:00,56298.12
2016-05-31 12:15:00,32875.11
2016-05-31 12:25:00,6918.11
2016-05-31 12:30:00,82419.8
2016-05-31 12:45:00,89340.09
2016-05-31 13:00:00,89340.64
2016-05-31 13:15:00,53327.3
2016-05-31 13:20:00,35335.03
2016-05-31 13:35:00,88680.63
2016-05-31 13:50:00,88681.28
2016-05-31 14:10:00,84829.98
2016-05-31 14:35:00,84467.51
2016-05-31 15:00:00,84475.46
2016-05-31 15:25:00,74611.56
2016-05-31 15:30:00,9666
2016-05-31 15:50:00,9718.76
2016-05-31 15:55:00,74528.89
2016-05-31 16:15:00,86471.05
2016-05-31 16:35:00,82925.04
2016-05-31 16:40:00,3586.39
2016-05-31 16:55:00,70993.04
2016-05-31 17:00:00,15506.41
2016-05-31 17:25:00,82922.69
2016-05-31 17:55:00,13522.38
2016-05-31 18:00:00,69364
2016-05-31 18:35:00,34821.63
2016-05-31 18:40:00,47136.57
2016-05-31 19:25:00,80868.27
2016-05-31 20:20:00,81248.62
2016-05-31 21:15:00,79707.67
2016-05-31 23:50:00,79093.37
2016-06-01 07:35:00,38789.19
2016-06-01 07:40:00,42804.74
2016-06-01 08:15:00,84618.31
2016-06-01 08:40:00,84666.73
2016-06-01 09:05:00,84972.99
2016-06-01 09:30:00,85257.35
2016-06-01 09:50:00,76305.58
2016-06-01 09:55:00,8960.61
2016-06-01 10:15:00,85464.6
2016-06-01 10:35:00,47712.01
2016-06-01 10:40:00,37734.03
2016-06-01 11:00:00,85469.89
2016-06-01 11:20:00,87135.13
2016-06-01 11:40:00,87142.69
2016-06-01 11:55:00,16274.48
2016-06-01 12:00:00,70852.72
2016-06-01 12:15:00,89291.32
2016-06-01 12:30:00,89328.74
2016-06-01 12:45:00,40860.35
2016-06-01 12:50:00,48444.05
2016-06-01 13:05:00,88989.65
2016-06-01 13:20:00,88663.36
2016-06-01 13:35:00,47346.34
2016-06-01 13:40:00,41299.81
2016-06-01 13:55:00,88667.56
2016-06-01 14:15:00,84520.72
2016-06-01 14:40:00,84463.83
2016-06-01 15:05:00,84372.94
2016-06-01 15:30:00,57608.28
2016-06-01 15:35:00,26644.46
2016-06-01 16:00:00,84252.92
2016-06-01 16:20:00,86496.53
2016-06-01 16:40:00,86507.32
2016-06-01 17:00:00,86507.9
2016-06-01 17:30:00,70188.13
2016-06-01 17:35:00,12741.04
2016-06-01 18:05:00,82445.56
2016-06-01 18:45:00,82021.63
2016-06-01 19:35:00,80946.32
2016-06-01 20:30:00,81273.48
2016-06-01 21:40:00,79656.99
2016-06-02 07:05:00,80565.47
2016-06-02 07:50:00,81640.82
2016-06-02 08:20:00,61033.68
2016-06-02 08:25:00,23603.26
2016-06-02 08:45:00,57109.67
2016-06-02 08:50:00,27531.52
2016-06-02 09:10:00,74750.66
2016-06-02 09:15:00,10457.11
2016-06-02 09:35:00,85260.89
2016-06-02 09:55:00,10356.23
2016-06-02 10:00:00,74885.72
2016-06-02 10:20:00,85470.12
2016-06-02 10:45:00,85457.37
2016-06-02 11:05:00,86303.52
2016-06-02 11:25:00,87132.92
2016-06-02 11:45:00,87134.46
2016-06-02 12:05:00,88242.32
2016-06-02 12:20:00,89316.65
2016-06-02 12:35:00,89317
2016-06-02 12:50:00,49683.32
2016-06-02 12:55:00,39611.58
2016-06-02 13:10:00,88714.94
2016-06-02 13:25:00,88653.9
2016-06-02 13:40:00,45356.03
2016-06-02 13:45:00,43280.63
2016-06-02 14:00:00,88657.78
2016-06-02 14:20:00,54476.89
2016-06-02 14:25:00,29975.66
